Natureza,Mes,Ano,Regiao,Ocorrencias
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,Ago,2021,Araçatuba,2
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,Set,2021,Araçatuba,7
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,Out,2021,Araçatuba,6
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,Nov,2021,Araçatuba,2
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,Dez,2021,Araçatuba,6
HOMICÍDIO CULPOSO OUTROS,Jan,2021,Araçatuba,0
HOMICÍDIO CULPOSO OUTROS,Fev,2021,Araçatuba,0
HOMICÍDIO CULPOSO OUTROS,Mar,2021,Araçatuba,0
HOMICÍDIO CULPOSO OUTROS,Abr,2021,Araçatuba,0
HOMICÍDIO CULPOSO OUTROS,Mai,2021,Araçatuba,0
HOMICÍDIO CULPOSO OUTROS,Jun,2021,Araçatuba,0
HOMICÍDIO CULPOSO OUTROS,Jul,2021,Araçatuba,0
HOMICÍDIO CULPOSO OUTROS,Ago,2021,Araçatuba,0
HOMICÍDIO CULPOSO OUTROS,Set,2021,Araçatuba,0
HOMICÍDIO CULPOSO OUTROS,Out,2021,Araçatuba,0
HOMICÍDIO CULPOSO OUTROS,Nov,2021,Araçatuba,0
HOMICÍDIO CULPOSO OUTROS,Dez,2021,Araçatuba,1
TENTATIVA DE HOMICÍDIO,Jan,2021,Araçatuba,8
TENTATIVA DE HOMICÍDIO,Fev,2021,Araçatuba,13
TENTATIVA DE HOMICÍDIO,Mar,2021,Araçatuba,12
TENTATIVA DE HOMICÍDIO,Abr,2021,Araçatuba,7
TENTATIVA DE HOMICÍDIO,Mai,2021,Araçatuba,6
TENTATIVA DE HOMICÍDIO,Jun,2021,Araçatuba,10
TENTATIVA DE HOMICÍDIO,Jul,2021,Araçatuba,9
TENTATIVA DE HOMICÍDIO,Ago,2021,Araçatuba,18
TENTATIVA DE HOMICÍDIO,Set,2021,Araçatuba,12
TENTATIVA DE HOMICÍDIO,Out,2021,Araçatuba,8
TENTATIVA DE HOMICÍDIO,Nov,2021,Araçatuba,11
TENTATIVA DE HOMICÍDIO,Dez,2021,Araçatuba,10
LESÃO CORPORAL SEGUIDA DE MORTE,Jan,2021,Araçatuba,0
LESÃO CORPORAL SEGUIDA DE MORTE,Fev,2021,Araçatuba,0
LESÃO CORPORAL SEGUIDA DE MORTE,Mar,2021,Araçatuba,0
LESÃO CORPORAL SEGUIDA DE MORTE,Abr,2021,Araçatuba,0
